FirstIng,SecondIng,commonComp
1338.0,248.0,98
1338.0,417.0,80
1338.0,1356.0,4
1338.0,749.0,0
1338.0,396.0,61
1338.0,1216.0,11
1338.0,735.0,13
1338.0,1399.0,21
1338.0,1197.0,43
1338.0,133.0,14
1338.0,1183.0,0
1338.0,1140.0,9
1338.0,64.0,19
1338.0,1428.0,50
1338.0,112.0,6
1338.0,260.0,55
1338.0,205.0,49
1338.0,1133.0,29
1338.0,516.0,4
1338.0,483.0,2
1338.0,361.0,41
1338.0,152.0,6
1338.0,1120.0,26
1338.0,296.0,46
1338.0,1382.0,0
1338.0,878.0,37
1338.0,590.0,16
1338.0,466.0,21
1338.0,1251.0,3
1338.0,1488.0,56
1338.0,638.0,4
1338.0,994.0,69
1338.0,652.0,48
1338.0,105.0,31
1338.0,18.0,5
1338.0,1469.0,12
1338.0,1232.0,15
1338.0,1370.0,13
385.0,1088.0,35
385.0,619.0,33
385.0,1320.0,12
385.0,19.0,49
385.0,248.0,65
385.0,417.0,45
385.0,1356.0,5
385.0,749.0,0
385.0,396.0,38
385.0,1216.0,14
385.0,735.0,11
385.0,1399.0,18
385.0,1197.0,40
385.0,133.0,13
385.0,1183.0,0
385.0,1140.0,8
385.0,64.0,15
385.0,1428.0,43
385.0,112.0,6
385.0,260.0,42
385.0,205.0,35
385.0,1133.0,21
385.0,516.0,4
385.0,483.0,2
385.0,361.0,30
385.0,152.0,5
385.0,1120.0,21
385.0,296.0,35
385.0,1382.0,0
385.0,878.0,24
385.0,590.0,16
385.0,466.0,20
385.0,1251.0,2
385.0,1488.0,44
385.0,638.0,4
385.0,994.0,50
385.0,652.0,31
385.0,105.0,26
385.0,18.0,5
385.0,1469.0,10
385.0,1232.0,16
385.0,1370.0,11
1088.0,619.0,31
1088.0,1320.0,6
1088.0,19.0,33
1088.0,248.0,42
1088.0,417.0,29
1088.0,1356.0,2
1088.0,749.0,0
1088.0,396.0,27
1088.0,1216.0,16
1088.0,735.0,12
1088.0,1399.0,11
1088.0,1197.0,35
1088.0,133.0,7
1088.0,1183.0,0
1088.0,1140.0,8
1088.0,64.0,14
1088.0,1428.0,42
1088.0,112.0,2
1088.0,260.0,29
1088.0,205.0,23
1088.0,1133.0,19
1088.0,516.0,4
1088.0,483.0,2
1088.0,361.0,18
1088.0,152.0,3
1088.0,1120.0,21
1088.0,296.0,31
1088.0,1382.0,0
1088.0,878.0,25
1088.0,590.0,11
1088.0,466.0,23
1088.0,1251.0,4
1088.0,1488.0,21
1088.0,638.0,4
1088.0,994.0,35
1088.0,652.0,18
1088.0,105.0,15
1088.0,18.0,3
1088.0,1469.0,10
1088.0,1232.0,14
1088.0,1370.0,13
619.0,1320.0,15
619.0,19.0,40
619.0,248.0,59
619.0,417.0,40
619.0,1356.0,9
619.0,749.0,1
619.0,396.0,49
619.0,1216.0,10
619.0,735.0,21
619.0,1399.0,31
619.0,1197.0,86
619.0,133.0,13
619.0,1183.0,2
619.0,1140.0,10
619.0,64.0,32
619.0,1428.0,155
619.0,112.0,5
619.0,260.0,45
619.0,205.0,31
619.0,1133.0,33
619.0,516.0,0
619.0,483.0,0
619.0,361.0,68
619.0,152.0,5
619.0,1120.0,40
619.0,296.0,37
619.0,1382.0,0
619.0,878.0,30
619.0,590.0,21
619.0,466.0,31
619.0,1251.0,2
619.0,1488.0,73
619.0,638.0,0
619.0,994.0,76
619.0,652.0,22
619.0,105.0,26
619.0,18.0,1
619.0,1469.0,12
619.0,1232.0,13
619.0,1370.0,14
1320.0,19.0,7
1320.0,248.0,12
1320.0,417.0,7
1320.0,1356.0,11
1320.0,749.0,0
1320.0,396.0,8
1320.0,1216.0,8
1320.0,735.0,8
1320.0,1399.0,14
1320.0,1197.0,19
1320.0,133.0,5
1320.0,1183.0,0
1320.0,1140.0,3
1320.0,64.0,6
1320.0,1428.0,21
1320.0,112.0,7
1320.0,260.0,11
1320.0,205.0,8
1320.0,1133.0,11
1320.0,516.0,0
1320.0,483.0,0
1320.0,361.0,9
1320.0,152.0,3
1320.0,1120.0,13
1320.0,296.0,8
1320.0,1382.0,0
1320.0,878.0,4
1320.0,590.0,12
1320.0,466.0,13
1320.0,1251.0,1
1320.0,1488.0,16
1320.0,638.0,0
1320.0,994.0,12
1320.0,652.0,5
1320.0,105.0,4
1320.0,18.0,0
1320.0,1469.0,2
1320.0,1232.0,2
1320.0,1370.0,1
19.0,248.0,102
19.0,417.0,115
19.0,1356.0,3
19.0,749.0,0
19.0,396.0,55
19.0,1216.0,12
19.0,735.0,11
19.0,1399.0,17
19.0,1197.0,41
19.0,133.0,15
19.0,1183.0,0
19.0,1140.0,8
19.0,64.0,13
19.0,1428.0,50
19.0,112.0,4
19.0,260.0,47
19.0,205.0,43
19.0,1133.0,24
19.0,516.0,4
19.0,483.0,2
19.0,361.0,40
19.0,152.0,4
19.0,1120.0,25
19.0,296.0,43
19.0,1382.0,0
19.0,878.0,32
19.0,590.0,17
19.0,466.0,18
19.0,1251.0,4
19.0,1488.0,60
19.0,638.0,4
19.0,994.0,65
19.0,652.0,48
19.0,105.0,32
19.0,18.0,7
19.0,1469.0,12
19.0,1232.0,16
19.0,1370.0,12
248.0,417.0,97
248.0,1356.0,5
248.0,749.0,0
248.0,396.0,75
248.0,1216.0,16
248.0,735.0,20
248.0,1399.0,28
248.0,1197.0,60
248.0,133.0,19
248.0,1183.0,1
248.0,1140.0,12
248.0,64.0,23
248.0,1428.0,70
248.0,112.0,5
248.0,260.0,64
248.0,205.0,54
248.0,1133.0,36
248.0,516.0,4
248.0,483.0,2
248.0,361.0,53
248.0,152.0,7
248.0,1120.0,34
248.0,296.0,65
248.0,1382.0,0
248.0,878.0,48
248.0,590.0,21
248.0,466.0,28
248.0,1251.0,4
248.0,1488.0,76
248.0,638.0,4
248.0,994.0,84
248.0,652.0,49
248.0,105.0,40
248.0,18.0,7
248.0,1469.0,14
248.0,1232.0,19
248.0,1370.0,13
417.0,1356.0,3
417.0,749.0,0
417.0,396.0,55
417.0,1216.0,12
417.0,735.0,11
417.0,1399.0,17
417.0,1197.0,40
417.0,133.0,15
417.0,1183.0,0
417.0,1140.0,8
417.0,64.0,13
417.0,1428.0,50
417.0,112.0,4
417.0,260.0,47
417.0,205.0,43
417.0,1133.0,24
417.0,516.0,0
417.0,483.0,0
417.0,361.0,40
417.0,152.0,4
417.0,1120.0,25
417.0,296.0,43
417.0,1382.0,0
417.0,878.0,32
417.0,590.0,17
417.0,466.0,18
417.0,1251.0,4
417.0,1488.0,60
417.0,638.0,0
417.0,994.0,61
417.0,652.0,44
417.0,105.0,30
417.0,18.0,5
417.0,1469.0,12
417.0,1232.0,16
417.0,1370.0,12
1356.0,749.0,0
1356.0,396.0,7
1356.0,1216.0,11
1356.0,735.0,3
1356.0,1399.0,7
1356.0,1197.0,9
1356.0,133.0,3
1356.0,1183.0,0
1356.0,1140.0,2
1356.0,64.0,3
1356.0,1428.0,11
1356.0,112.0,12
1356.0,260.0,7
1356.0,205.0,5
1356.0,1133.0,3
1356.0,516.0,0
1356.0,483.0,0
1356.0,361.0,7
1356.0,152.0,1
1356.0,1120.0,13
1356.0,296.0,6
1356.0,1382.0,0
1356.0,878.0,5
1356.0,590.0,13
1356.0,466.0,3
1356.0,1251.0,0
1356.0,1488.0,9
1356.0,638.0,0
1356.0,994.0,4
1356.0,652.0,2
1356.0,105.0,3
1356.0,18.0,0
1356.0,1469.0,0
1356.0,1232.0,0
1356.0,1370.0,1
749.0,396.0,0
749.0,1216.0,0
749.0,735.0,1
749.0,1399.0,0
749.0,1197.0,0
749.0,133.0,0
749.0,1183.0,0
749.0,1140.0,0
749.0,64.0,0
749.0,1428.0,1
749.0,112.0,0
749.0,260.0,0
749.0,205.0,0
749.0,1133.0,1
749.0,516.0,0
749.0,483.0,0
749.0,361.0,0
749.0,152.0,0
749.0,1120.0,0
749.0,296.0,0
749.0,1382.0,0
749.0,878.0,0
749.0,590.0,0
749.0,466.0,0
749.0,1251.0,0
749.0,1488.0,1
749.0,638.0,0
749.0,994.0,0
749.0,652.0,0
749.0,105.0,0
749.0,18.0,0
749.0,1469.0,0
749.0,1232.0,0
749.0,1370.0,0
396.0,1216.0,13
396.0,735.0,16
396.0,1399.0,23
396.0,1197.0,53
396.0,133.0,11
396.0,1183.0,0
396.0,1140.0,9
396.0,64.0,20
396.0,1428.0,60
396.0,112.0,3
396.0,260.0,47
396.0,205.0,41
396.0,1133.0,29
396.0,516.0,0
396.0,483.0,0
396.0,361.0,50
396.0,152.0,4
396.0,1120.0,30
396.0,296.0,42
396.0,1382.0,0
396.0,878.0,33
396.0,590.0,20
396.0,466.0,21
396.0,1251.0,4
396.0,1488.0,52
396.0,638.0,0
396.0,994.0,76
396.0,652.0,32
396.0,105.0,28
396.0,18.0,3
396.0,1469.0,11
396.0,1232.0,15
396.0,1370.0,13
1216.0,735.0,8
1216.0,1399.0,4
1216.0,1197.0,19
1216.0,133.0,5
1216.0,1183.0,0
1216.0,1140.0,2
1216.0,64.0,7
1216.0,1428.0,18
1216.0,112.0,8
1216.0,260.0,11
1216.0,205.0,12
1216.0,1133.0,11
1216.0,516.0,0
1216.0,483.0,0
1216.0,361.0,6
1216.0,152.0,2
1216.0,1120.0,16
1216.0,296.0,12
1216.0,1382.0,0
1216.0,878.0,6
1216.0,590.0,13
1216.0,466.0,7
1216.0,1251.0,2
1216.0,1488.0,8
1216.0,638.0,0
1216.0,994.0,11
1216.0,652.0,4
1216.0,105.0,7
1216.0,18.0,1
1216.0,1469.0,3
1216.0,1232.0,4
1216.0,1370.0,7
735.0,1399.0,5
735.0,1197.0,44
735.0,133.0,4
735.0,1183.0,0
735.0,1140.0,6
735.0,64.0,13
735.0,1428.0,25
735.0,112.0,4
735.0,260.0,9
735.0,205.0,11
735.0,1133.0,30
735.0,516.0,0
735.0,483.0,0
735.0,361.0,13
735.0,152.0,4
735.0,1120.0,27
735.0,296.0,9
735.0,1382.0,0
735.0,878.0,7
735.0,590.0,20
735.0,466.0,22
735.0,1251.0,3
735.0,1488.0,13
735.0,638.0,0
735.0,994.0,19
735.0,652.0,8
735.0,105.0,7
735.0,18.0,0
735.0,1469.0,3
735.0,1232.0,6
735.0,1370.0,4
1399.0,1197.0,33
1399.0,133.0,11
1399.0,1183.0,0
1399.0,1140.0,6
1399.0,64.0,16
1399.0,1428.0,40
1399.0,112.0,6
1399.0,260.0,33
1399.0,205.0,18
1399.0,1133.0,14
1399.0,516.0,0
1399.0,483.0,0
1399.0,361.0,25
1399.0,152.0,4
1399.0,1120.0,17
1399.0,296.0,19
1399.0,1382.0,0
1399.0,878.0,13
1399.0,590.0,9
1399.0,466.0,17
1399.0,1251.0,1
1399.0,1488.0,30
1399.0,638.0,0
1399.0,994.0,28
1399.0,652.0,9
1399.0,105.0,10
1399.0,18.0,2
1399.0,1469.0,6
1399.0,1232.0,2
1399.0,1370.0,4
1197.0,133.0,12
1197.0,1183.0,1
1197.0,1140.0,10
1197.0,64.0,41
1197.0,1428.0,105
1197.0,112.0,10
1197.0,260.0,52
1197.0,205.0,35
1197.0,1133.0,47
1197.0,516.0,0
1197.0,483.0,0
1197.0,361.0,58
1197.0,152.0,6
1197.0,1120.0,74
1197.0,296.0,31
1197.0,1382.0,0
1197.0,878.0,24
1197.0,590.0,35
1197.0,466.0,44
1197.0,1251.0,3
1197.0,1488.0,61
1197.0,638.0,0
1197.0,994.0,86
1197.0,652.0,19
1197.0,105.0,30
1197.0,18.0,2
1197.0,1469.0,13
1197.0,1232.0,12
1197.0,1370.0,10
133.0,1183.0,0
133.0,1140.0,3
133.0,64.0,3
133.0,1428.0,15
133.0,112.0,2
133.0,260.0,15
133.0,205.0,11
133.0,1133.0,10
133.0,516.0,0
133.0,483.0,0
133.0,361.0,9
133.0,152.0,3
133.0,1120.0,9
133.0,296.0,11
133.0,1382.0,0
133.0,878.0,6
133.0,590.0,5
133.0,466.0,7
133.0,1251.0,0
133.0,1488.0,13
133.0,638.0,0
133.0,994.0,12
133.0,652.0,10
133.0,105.0,9
133.0,18.0,1
133.0,1469.0,3
133.0,1232.0,2
133.0,1370.0,2
1183.0,1140.0,0
1183.0,64.0,0
1183.0,1428.0,2
1183.0,112.0,0
1183.0,260.0,2
1183.0,205.0,0
1183.0,1133.0,0
1183.0,516.0,0
1183.0,483.0,0
1183.0,361.0,1
1183.0,152.0,0
1183.0,1120.0,0
1183.0,296.0,0
1183.0,1382.0,0
1183.0,878.0,0
1183.0,590.0,0
1183.0,466.0,0
1183.0,1251.0,0
1183.0,1488.0,2
1183.0,638.0,0
1183.0,994.0,1
1183.0,652.0,0
1183.0,105.0,0
1183.0,18.0,0
1183.0,1469.0,0
1183.0,1232.0,0
1183.0,1370.0,0
1140.0,64.0,7
1140.0,1428.0,10
1140.0,112.0,2
1140.0,260.0,8
1140.0,205.0,7
1140.0,1133.0,7
1140.0,516.0,0
1140.0,483.0,0
1140.0,361.0,8
1140.0,152.0,3
1140.0,1120.0,7
1140.0,296.0,6
1140.0,1382.0,0
1140.0,878.0,5
1140.0,590.0,6
1140.0,466.0,8
1140.0,1251.0,0
1140.0,1488.0,8
1140.0,638.0,0
1140.0,994.0,8
1140.0,652.0,5
1140.0,105.0,5
1140.0,18.0,0
1140.0,1469.0,3
1140.0,1232.0,7
1140.0,1370.0,4
64.0,1428.0,35
64.0,112.0,4
64.0,260.0,22
64.0,205.0,13
64.0,1133.0,14
64.0,516.0,0
64.0,483.0,0
64.0,361.0,22
64.0,152.0,3
64.0,1120.0,16
64.0,296.0,11
64.0,1382.0,0
64.0,878.0,10
64.0,590.0,8
64.0,466.0,13
64.0,1251.0,1
64.0,1488.0,29
64.0,638.0,0
64.0,994.0,31
64.0,652.0,8
64.0,105.0,13
64.0,18.0,1
64.0,1469.0,5
64.0,1232.0,3
64.0,1370.0,3
1428.0,112.0,7
1428.0,260.0,57
1428.0,205.0,39
1428.0,1133.0,37
1428.0,516.0,0
1428.0,483.0,0
1428.0,361.0,72
1428.0,152.0,5
1428.0,1120.0,52
1428.0,296.0,38
1428.0,1382.0,0
1428.0,878.0,31
1428.0,590.0,28
1428.0,466.0,37
1428.0,1251.0,3
1428.0,1488.0,86
1428.0,638.0,0
1428.0,994.0,91
1428.0,652.0,24
1428.0,105.0,29
1428.0,18.0,1
1428.0,1469.0,13
1428.0,1232.0,13
1428.0,1370.0,16
112.0,260.0,9
112.0,205.0,6
112.0,1133.0,5
112.0,516.0,0
112.0,483.0,0
112.0,361.0,3
112.0,152.0,1
112.0,1120.0,9
112.0,296.0,5
112.0,1382.0,0
112.0,878.0,4
112.0,590.0,9
112.0,466.0,4
112.0,1251.0,0
112.0,1488.0,4
112.0,638.0,0
112.0,994.0,6
112.0,652.0,3
112.0,105.0,1
112.0,18.0,1
112.0,1469.0,3
112.0,1232.0,0
112.0,1370.0,0
260.0,205.0,44
260.0,1133.0,20
260.0,516.0,0
260.0,483.0,0
260.0,361.0,35
260.0,152.0,5
260.0,1120.0,30
260.0,296.0,38
260.0,1382.0,0
260.0,878.0,31
260.0,590.0,16
260.0,466.0,22
260.0,1251.0,3
260.0,1488.0,49
260.0,638.0,0
260.0,994.0,57
260.0,652.0,27
260.0,105.0,27
260.0,18.0,4
260.0,1469.0,13
260.0,1232.0,14
260.0,1370.0,11
205.0,1133.0,23
205.0,516.0,0
205.0,483.0,0
205.0,361.0,27
205.0,152.0,4
205.0,1120.0,20
205.0,296.0,38
205.0,1382.0,0
205.0,878.0,28
205.0,590.0,13
205.0,466.0,17
205.0,1251.0,3
205.0,1488.0,38
205.0,638.0,0
205.0,994.0,42
205.0,652.0,25
205.0,105.0,24
205.0,18.0,2
205.0,1469.0,11
205.0,1232.0,16
205.0,1370.0,12
1133.0,516.0,0
1133.0,483.0,0
1133.0,361.0,21
1133.0,152.0,4
1133.0,1120.0,36
1133.0,296.0,19
1133.0,1382.0,0
1133.0,878.0,15
1133.0,590.0,19
1133.0,466.0,25
1133.0,1251.0,2
1133.0,1488.0,28
1133.0,638.0,0
1133.0,994.0,30
1133.0,652.0,15
1133.0,105.0,13
1133.0,18.0,2
1133.0,1469.0,6
1133.0,1232.0,8
1133.0,1370.0,8
516.0,483.0,2
516.0,361.0,0
516.0,152.0,0
516.0,1120.0,0
516.0,296.0,0
516.0,1382.0,0
516.0,878.0,0
516.0,590.0,0
516.0,466.0,0
516.0,1251.0,0
516.0,1488.0,0
516.0,638.0,4
516.0,994.0,4
516.0,652.0,4
516.0,105.0,1
516.0,18.0,2
516.0,1469.0,0
516.0,1232.0,0
516.0,1370.0,0
483.0,361.0,0
483.0,152.0,0
483.0,1120.0,0
483.0,296.0,0
483.0,1382.0,0
483.0,878.0,0
483.0,590.0,0
483.0,466.0,0
483.0,1251.0,0
483.0,1488.0,0
483.0,638.0,2
483.0,994.0,2
483.0,652.0,2
483.0,105.0,1
483.0,18.0,2
483.0,1469.0,0
483.0,1232.0,0
483.0,1370.0,0
361.0,152.0,4
361.0,1120.0,25
361.0,296.0,27
361.0,1382.0,0
361.0,878.0,22
361.0,590.0,12
361.0,466.0,16
361.0,1251.0,1
361.0,1488.0,61
361.0,638.0,0
361.0,994.0,64
361.0,652.0,23
361.0,105.0,29
361.0,18.0,3
361.0,1469.0,6
361.0,1232.0,9
361.0,1370.0,7
152.0,1120.0,4
152.0,296.0,4
152.0,1382.0,0
152.0,878.0,2
152.0,590.0,3
152.0,466.0,4
152.0,1251.0,0
152.0,1488.0,6
152.0,638.0,0
152.0,994.0,5
152.0,652.0,4
152.0,105.0,4
152.0,18.0,0
152.0,1469.0,3
152.0,1232.0,2
152.0,1370.0,1
1120.0,296.0,17
1120.0,1382.0,0
1120.0,878.0,15
1120.0,590.0,30
1120.0,466.0,34
1120.0,1251.0,3
1120.0,1488.0,28
1120.0,638.0,0
1120.0,994.0,43
1120.0,652.0,12
1120.0,105.0,13
1120.0,18.0,2
1120.0,1469.0,5
1120.0,1232.0,8
1120.0,1370.0,8
296.0,1382.0,0
296.0,878.0,64
296.0,590.0,12
296.0,466.0,18
296.0,1251.0,3
296.0,1488.0,35
296.0,638.0,0
296.0,994.0,45
296.0,652.0,25
296.0,105.0,28
296.0,18.0,2
296.0,1469.0,13
296.0,1232.0,15
296.0,1370.0,12
1382.0,878.0,0
1382.0,590.0,0
1382.0,466.0,0
1382.0,1251.0,0
1382.0,1488.0,0
1382.0,638.0,0
1382.0,994.0,0
1382.0,652.0,0
1382.0,105.0,0
1382.0,18.0,0
1382.0,1469.0,0
1382.0,1232.0,0
1382.0,1370.0,0
878.0,590.0,8
878.0,466.0,15
878.0,1251.0,3
878.0,1488.0,25
878.0,638.0,0
878.0,994.0,34
878.0,652.0,20
878.0,105.0,22
878.0,18.0,1
878.0,1469.0,10
878.0,1232.0,12
878.0,1370.0,10
590.0,466.0,19
590.0,1251.0,5
590.0,1488.0,12
590.0,638.0,0
590.0,994.0,21
590.0,652.0,9
590.0,105.0,9
590.0,18.0,0
590.0,1469.0,1
590.0,1232.0,7
590.0,1370.0,7
466.0,1251.0,2
466.0,1488.0,18
466.0,638.0,0
466.0,994.0,30
466.0,652.0,15
466.0,105.0,11
466.0,18.0,0
466.0,1469.0,10
466.0,1232.0,9
466.0,1370.0,9
1251.0,1488.0,2
1251.0,638.0,0
1251.0,994.0,2
1251.0,652.0,2
1251.0,105.0,2
1251.0,18.0,0
1251.0,1469.0,0
1251.0,1232.0,1
1251.0,1370.0,2
1488.0,638.0,0
1488.0,994.0,73
1488.0,652.0,34
1488.0,105.0,34
1488.0,18.0,6
1488.0,1469.0,13
1488.0,1232.0,9
1488.0,1370.0,9
638.0,994.0,4
638.0,652.0,4
638.0,105.0,1
638.0,18.0,2
638.0,1469.0,0
638.0,1232.0,0
638.0,1370.0,0
994.0,652.0,37
994.0,105.0,42
994.0,18.0,4
994.0,1469.0,15
994.0,1232.0,16
994.0,1370.0,14
652.0,105.0,21
652.0,18.0,4
652.0,1469.0,9
652.0,1232.0,10
652.0,1370.0,8
105.0,18.0,2
105.0,1469.0,7
105.0,1232.0,9
105.0,1370.0,6
18.0,1469.0,1
18.0,1232.0,1
18.0,1370.0,0
1469.0,1232.0,4
1469.0,1370.0,2
1232.0,1370.0,9
